   15: 0x004BC120  CheckReadyCheckTime

=== Loop @ 0x004BEB9F  Table 0x008475A0  Count=28 ===
    0: 0x004BDC20  PetHasActionBar
    1: 0x004BDC50  GetPetActionInfo
    2: 0x004BDFA0  GetPetActionCooldown
    3: 0x004BE0B0  GetPetActionsUsable
    4: 0x004BE0E0  IsPetAttackActive
    5: 0x004BE180  PickupPetAction
    6: 0x004BE290  TogglePetAutocast
    7: 0x004BE330  CastPetAction
    8: 0x004BE450  PetPassiveMode
    9: 0x004BE460  PetDefensiveMode
   10: 0x004BE470  PetAggressiveMode
   11: 0x004BE480  PetWait
   12: 0x004BE490  PetFollow
   13: 0x004BE4A0  PetAttack
   14: 0x004BE4B0  PetStopAttack
   15: 0x004BE4C0  PetAbandon
   16: 0x004BE4D0  PetDismiss
   17: 0x004BE4E0  PetRename
   18: 0x004BE500  PetCanBeAbandoned
   19: 0x004BE580  PetCanBeRenamed
   20: 0x004BE600  GetPetTimeRemaining
   21: 0x004BE670  HasPetUI
   22: 0x004BE700  GetPetLoyalty
   23: 0x004BE790  GetPetTrainingPoints
   24: 0x004BE840  GetPetExperience
   25: 0x004BE900  GetPetHappiness
   26: 0x004BEA10  GetPetFoodTypes
   27: 0x004BEB10  GetPetIcon

=== Loop @ 0x004C086F  Table 0x008479F8  Count=14 ===
    0: 0x004BFDC0  CloseTrade
    1: 0x004BFDF0  ClickTradeButton
    2: 0x004C0080  ClickTargetTradeButton
    3: 0x004C00F0  GetTradeTargetItemInfo
    4: 0x004C0360  GetTradeTargetItemLink
    5: 0x004C0450  GetTradePlayerItemInfo
    6: 0x004C0650  GetTradePlayerItemLink
    7: 0x004C06E0  AcceptTrade
    8: 0x004C06F0  CancelTradeAccept
    9: 0x004C0700  GetPlayerTradeMoney
   10: 0x004C0750  GetTargetTradeMoney
   11: 0x004C0790  PickupTradeMoney
   12: 0x004C07F0  AddTradeMoney
   13: 0x004C0820  SetTradeMoney

=== Loop @ 0x004C345F  Table 0x00847CF0  Count=16 ===
    0: 0x004C2B40  SetLootPortrait
    1: 0x004C2C30  GetNumLootItems
    2: 0x004C2C60  GetLootSlotInfo
    3: 0x004C2D20  GetLootSlotLink
    4: 0x004C2D90  LootSlotIsItem
    5: 0x004C2E00  LootSlotIsCoin
    6: 0x004C2E70  LootSlot
    7: 0x004C2EC0  CloseLoot
    8: 0x004C2EE0  IsFishingLoot
    9: 0x004C2F10  GetMasterLootCandidate
   10: 0x004C2FD0  GiveMasterLoot
   11: 0x004C3050  GetLootRollItemInfo
   12: 0x004C31F0  GetLootRollItemLink
   13: 0x004C32D0  GetLootRollTimeLeft
   14: 0x004C3370  RollOnLoot
   15: 0x004C33E0  ConfirmLootRoll

=== Loop @ 0x004C473F  Table 0x008481B8  Count=12 ===
    0: 0x004C4210  CloseLottery
    1: 0x004C4220  GetLastLotteryNumbers
    2: 0x004C4290  SubmitNumbers
    3: 0x004C43D0  IsVendorActive
    4: 0x004C4400  BuyRandomPicks
    5: 0x004C44B0  GetNumLotteryPrizes
    6: 0x004C44E0  GetLotteryPrizeInfo
    7: 0x004C45D0  GetJackpotAmount
    8: 0x004C45F0  GetMoneyPrizes
    9: 0x004C4630  GetNextDrawTime
   10: 0x004C4660  GetNumPastDrawResults
   11: 0x004C4690  GetPastDrawResult

=== Loop @ 0x004C4E1F  Table 0x0084838C  Count=3 ===
    0: 0x004C4D50  GetMinigameType
    1: 0x004C4D80  MakeMinigameMove
    2: 0x004C4DF0  GetMinigameState

=== Loop @ 0x004C5C0F  Table 0x00848414  Count=2 ===
    0: 0x004C5A40  GetNumWorldStateUI
    1: 0x004C5A70  GetWorldStateUIInfo

=== Loop @ 0x004C9A3F  Table 0x008484D0  Count=27 ===
    0: 0x004C81B0  GetInventorySlotInfo
    1: 0x004C82A0  GetInventoryItemTexture
    2: 0x004C8590  GetInventoryItemBroken
    3: 0x004C8680  GetInventoryItemCount
    4: 0x004C88D0  GetInventoryItemQuality
    5: 0x004C8A60  GetInventoryItemCooldown
    6: 0x004C8C10  GetInventoryItemLink
    7: 0x004C8150  KeyRingButtonIDToInvSlotID
    8: 0x004C8DA0  PickupInventoryItem
    9: 0x004C8DE0  UseInventoryItem
   10: 0x004C8E60  IsInventoryItemLocked
   11: 0x004C8F00  PutItemInBag
   12: 0x004C8F70  PutItemInBackpack
   13: 0x004C8FA0  PickupBagFromSlot
   14: 0x004C8FF0  CursorCanGoInSlot
   15: 0x004C90B0  ShowInventorySellCursor
   16: 0x004C9150  SetInventoryPortaitTexture
   17: 0x004C9330  GetGuildInfo
   18: 0x004C94B0  GetInventoryAlertStatus
   19: 0x004C9560  UpdateInventoryAlertStatus
   20: 0x004C9570  OffhandHasWeapon
   21: 0x004C95E0  HasInspectHonorData
