=== Table 0x00AC3E00  Count=113 ===
  280: 0x00517C20  SetUIVisibility
  281: 0x0051D1B0  IsReferAFriendLinked
  282: 0x0051D230  CanGrantLevel
  283: 0x00523160  GrantLevel
  284: 0x0051D2B0  CanSummonFriend
  285: 0x00523260  SummonFriend
  286: 0x00511D30  GetSummonFriendCooldown
  287: 0x0051D330  GetTotemInfo
  288: 0x00517C60  GetTotemTimeLeft
  289: 0x005262E0  TargetTotem
  290: 0x0051D520  DestroyTotem
  291: 0x00511DD0  GetNumDeclensionSets
  292: 0x00511E80  DeclineName
  293: 0x00523360  AcceptLevelGrant
  294: 0x00517D20  DeclineLevelGrant
  295: 0x00511F90  UploadSettings
  296: 0x00511FA0  DownloadSettings
  297: 0x004DD610  GetMovieResolution
  298: 0x0051D590  GameMovieFinished
  299: 0x00511FB0  IsDesaturateSupported
  300: 0x00511FE0  GetThreatStatusColor
  301: 0x00517D30  IsThreatWarningEnabled
  302: 0x00512090  ConsoleAddMessage
  303: 0x00516ED0  GetItemUniqueness
  304: 0x00523370  EndRefund
  305: 0x005233D0  EndBoundTradeable
  306: 0x00517D70  CanMapChangeDifficulty
  307: 0x004DDC20  GetExpansionLevel
  308: 0x0051D5A0  GetAllowLowLevelRaid
  309: 0x0051D600  SetAllowLowLevelRaid

=== Table 0x00ACC6D0  Count=22 ===
    0: 0x0052C110  GetNumPartyMembers
    1: 0x0052C190  GetRealNumPartyMembers
    2: 0x0052C1D0  GetPartyMember
    3: 0x0052C270  GetPartyLeaderIndex
    4: 0x0052CCD0  IsPartyLeader
    5: 0x0052CD30  IsRealPartyLeader
    6: 0x0052D990  LeaveParty
    7: 0x0052CD90  GetLootMethod
    8: 0x0052DC20  SetLootMethod
    9: 0x0052C2A0  GetLootThreshold
   10: 0x0052DE60  SetLootThreshold
   11: 0x0052E1B0  SetPartyAssignment
   12: 0x0052E400  ClearPartyAssignment
   13: 0x0052CF60  GetPartyAssignment
   14: 0x0052D9C0  SilenceMember
   15: 0x0052DAF0  UnSilenceMember
   16: 0x0052CF00  SetOptOutOfLoot
   17: 0x0052C2D0  GetOptOutOfLoot
   18: 0x0052D000  CanChangePlayerDifficulty
   19: 0x0052E420  ChangePlayerDifficulty
   20: 0x0052C310  IsPartyLFG
   21: 0x0052C350  HasLFGRestrictions

=== Table 0x00ACC790  Count=9 ===
    0: 0x0052E850  GetBarberShopStyleInfo
    1: 0x0052FDD0  SetNextBarberShopStyle
    2: 0x0052ED60  GetBarberShopTotalCost
    3: 0x0052EEF0  ApplyBarberShopStyle
    4: 0x0052ED80  CancelBarberShop
    5: 0x0052E9B0  GetHairCustomization
    6: 0x0052E9D0  GetFacialHairCustomization
    7: 0x0052F900  BarberShopReset
    8: 0x0052E4F0  CanAlterSkin

=== Table 0x00ACC868  Count=8 ===
    0: 0x00530700  CanResetTutorials
    1: 0x00530750  FlagTutorial
    2: 0x005307A0  IsTutorialFlagged
    3: 0x005308D0  TriggerTutorial
    4: 0x00530820  ClearTutorials
    5: 0x00530830  ResetTutorials
    6: 0x005301D0  GetNextCompleatedTutorial
    7: 0x00530240  GetPrevCompleatedTutorial

=== Table 0x00ACCAE8  Count=57 ===
    0: 0x005343F0  BNGetInfo
    1: 0x00534590  BNGetNumFriends
    2: 0x00539BF0  BNGetFriendInfo
    3: 0x00539CC0  BNGetFriendInfoByID
    4: 0x005349F0  BNGetNumFriendToons
    5: 0x00539D70  BNGetFriendToonInfo
    6: 0x00539F90  BNGetToonInfo
    7: 0x00534ED0  BNRemoveFriend
    8: 0x00534F80  BNSetFriendNote
    9: 0x00537510  BNSetSelectedFriend
   10: 0x00537600  BNGetSelectedFriend
   11: 0x00535080  BNGetNumFriendInvites
   12: 0x00535180  BNGetFriendInviteInfo
   13: 0x00535380  BNSendFriendInvite
   14: 0x00535490  BNSendFriendInviteByID
   15: 0x005355C0  BNAcceptFriendInvite
   16: 0x00535660  BNDeclineFriendInvite
   17: 0x00535700  BNReportFriendInvite
   18: 0x005357A0  BNSetAFK
   19: 0x00535860  BNSetDND
   20: 0x00535920  BNSetCustomMessage
   21: 0x00535AA0  BNGetCustomMessageTable
   22: 0x00535C60  BNSetFocus
   23: 0x0053A030  BNSendWhisper
   24: 0x00535CE0  BNCreateConversation
